Column1,time,topicName,query,hotPos,popular,id,active_time_hr,climbing_time,top_hotPos,max_span_up_hotPos,max_span_down_hotPos,hotPos_flucation_avg_span,max_span_up_popular,max_span_down_popular,popular_avg,is_business_day
1,2021-10-10 07:00:00,#Toonami,#Toonami,7,6864,M_001,0.0,0.0,7,0.0,-0.0,0.0,0.0,-0.0,6864.0,1
2,2022-03-06 09:00:00,#Toonami,#Toonami,15,5780,M_001,3530.0,0.0,7,7.0,3.0,1.375,3153.0,3943.0,4542.84375,1
3,2022-03-06 08:00:00,#Toonami,#Toonami,12,5581,M_001,3529.0,0.0,7,7.0,3.0,1.3225806451612903,3153.0,3943.0,4502.935483870968,1
4,2022-03-06 07:00:00,#Toonami,#Toonami,11,4793,M_001,3528.0,0.0,7,7.0,3.0,1.3333333333333333,3153.0,3943.0,4467.0,1
5,2022-03-06 06:00:00,#Toonami,#Toonami,14,3504,M_001,3527.0,0.0,7,7.0,3.0,1.2758620689655173,3153.0,3943.0,4455.758620689655,1
6,2022-02-20 07:00:00,#Toonami,#Toonami,11,4827,M_001,3192.0,0.0,7,7.0,3.0,1.2592592592592593,3153.0,3943.0,4419.407407407408,1
7,2022-02-20 06:00:00,#Toonami,#Toonami,10,3417,M_001,3191.0,0.0,7,7.0,3.0,1.2692307692307692,3153.0,3943.0,4403.7307692307695,1
8,2022-02-20 05:00:00,#Toonami,#Toonami,10,1847,M_001,3190.0,0.0,7,7.0,3.0,1.32,3153.0,3943.0,4443.2,1
9,2022-02-13 07:00:00,#Toonami,#Toonami,7,5790,M_001,3024.0,0.0,7,7.0,3.0,1.25,3153.0,3361.0,4551.375,1
10,2022-02-13 05:00:00,#Toonami,#Toonami,7,2637,M_001,3022.0,0.0,7,7.0,3.0,1.3043478260869565,2458.0,3361.0,4497.521739130435,1
11,2022-02-06 10:00:00,#Toonami,#Toonami,9,5998,M_001,2859.0,0.0,7,7.0,3.0,1.2727272727272727,2458.0,3279.0,4582.090909090909,1
12,2022-02-06 08:00:00,#Toonami,#Toonami,9,5657,M_001,2857.0,0.0,7,7.0,3.0,1.3333333333333333,2458.0,3279.0,4514.666666666667,1
13,2022-02-06 07:00:00,#Toonami,#Toonami,11,4826,M_001,2856.0,0.0,7,7.0,3.0,1.3,2458.0,3279.0,4457.55,1
14,2022-01-30 09:00:00,#Toonami,#Toonami,10,5581,M_001,2690.0,0.0,7,7.0,3.0,1.3157894736842106,2458.0,3279.0,4438.1578947368425,0
15,2022-01-30 08:00:00,#Toonami,#Toonami,9,5412,M_001,2689.0,0.0,7,7.0,3.0,1.3333333333333333,2458.0,3279.0,4374.666666666667,0
16,2022-01-30 07:00:00,#Toonami,#Toonami,9,4702,M_001,2688.0,0.0,7,7.0,3.0,1.411764705882353,2458.0,3279.0,4313.64705882353,0
17,2022-02-20 09:00:00,#Toonami,#Toonami,12,6389,M_001,3194.0,0.0,7,7.0,3.0,1.25,3153.0,3943.0,4489.75,1
